id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-1302270,2025-06-20,000001,Vente,260000,80,,RUE DU DESSOUS DES BERGES,2756,75013,75113,Paris 13e Arrondissement,75,,,75113000BI0028,,,161,,,,,,,,,,1,2,Appartement,26,2,,,,,,2.372988,48.829025
2025-1302329,2025-06-19,000001,Vente,139000,23,,RUE DE DOMREMY,2894,75013,75113,Paris 13e Arrondissement,75,,,75113000BI0001,,,242,18.12,,,,,,,,,1,2,Appartement,18,1,,,,,,2.372091,48.829706
2025-1303442,2025-07-02,000001,Vente,307000,90,,RUE DU DESSOUS DES BERGES,2756,75013,75113,Paris 13e Arrondissement,75,,,75113000BI0005,,,30,38.11,,,,,,,,,1,2,Appartement,49,2,,,,,,2.3725,48.82935
2025-1303964,2025-07-16,000001,Vente,395000,33,,RUE DE TOLBIAC,9337,75013,75113,Paris 13e Arrondissement,75,,,75113000CG0028,,,20,49.41,,,,,,,,,1,3,Dépendance,,0,,,,,,2.372863,48.828215
2025-1303964,2025-07-16,000001,Vente,395000,33,,RUE DE TOLBIAC,9337,75013,75113,Paris 13e Arrondissement,75,,,75113000CG0028,,,20,49.41,,,,,,,,,1,2,Appartement,49,3,,,,,,2.372863,48.828215
2025-1304007,2025-07-18,000001,Vente,378750,32,,RUE DE TOLBIAC,9337,75013,75113,Paris 13e Arrondissement,75,,,75113000BI0031,,,76,,8,,,,,,,,2,2,Appartement,40,2,,,,,,2.372955,48.828742
2025-1304007,2025-07-18,000001,Vente,378750,32,,RUE DE TOLBIAC,9337,75013,75113,Paris 13e Arrondissement,75,,,75113000BI0031,,,76,,8,,,,,,,,2,3,Dépendance,,0,,,,,,2.372955,48.828742
2025-1304307,2025-07-15,000001,Vente,1100,5,,RUE DE DOMREMY,2894,75013,75113,Paris 13e Arrondissement,75,,,75113000BI0013,,,27,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.374183,48.830611
2025-1304307,2025-07-15,000001,Vente,1100,5,,RUE DE DOMREMY,2894,75013,75113,Paris 13e Arrondissement,75,,,75113000BI0013,,,27,,,,,,,,,,1,2,Appartement,37,2,,,,,,2.374183,48.830611
2025-1304313,2025-07-15,000001,Vente,700,5,,RUE DE DOMREMY,2894,75013,75113,Paris 13e Arrondissement,75,,,75113000BI0013,,,46,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.374183,48.830611
2025-1304352,2025-07-15,000001,Vente,1100,5,,RUE DE DOMREMY,2894,75013,75113,Paris 13e Arrondissement,75,,,75113000BI0013,,,26,,,,,,,,,,1,2,Appartement,37,2,,,,,,2.374183,48.830611
2025-1304402,2025-07-16,000001,Vente,195000,2,,RUE DUNOIS,2992,75013,75113,Paris 13e Arrondissement,75,,,75113000BJ0041,,,34,20.91,62,,,,,,,,2,2,Appartement,15,1,,,,,,2.3715,48.829858
2025-1304646,2025-07-23,000001,Vente,598500,3,,RUE XAINTRAILLES,9973,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0014,,,266,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.370599,48.829352
2025-1304646,2025-07-23,000001,Vente,598500,3,,RUE XAINTRAILLES,9973,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0014,,,265,52.03,,,,,,,,,1,3,Dépendance,,0,,,,,,2.370599,48.829352
2025-1305234,2025-07-28,000001,Vente,542000,3,,RUE XAINTRAILLES,9973,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0014,,,39,,40,,,,,,,,2,2,Appartement,66,3,,,,,,2.370599,48.829352
2025-1305234,2025-07-28,000001,Vente,542000,3,,RUE XAINTRAILLES,9973,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0014,,,39,,40,,,,,,,,2,3,Dépendance,,0,,,,,,2.370599,48.829352
2025-1305438,2025-08-06,000001,Vente,17000,12,,RUE XAINTRAILLES,9973,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0019,,,36,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.37022,48.829935
2025-1306031,2025-07-31,000001,Vente,148000,34,,RUE DE DOMREMY,2894,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0012,,,23,,9,20.92,,,,,,,2,3,Dépendance,,0,,,,,,2.371001,48.829423
2025-1306031,2025-07-31,000001,Vente,148000,34,,RUE DE DOMREMY,2894,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0012,,,23,,9,20.92,,,,,,,2,2,Appartement,22,1,,,,,,2.371001,48.829423
2025-1306045,2025-07-30,000001,Vente,447450,11,,RUE DUNOIS,2992,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0023,,,2,59,35,,36,,,,,,3,2,Appartement,56,2,,,,,,2.370297,48.830071
2025-1306045,2025-07-30,000001,Vente,447450,11,,RUE DUNOIS,2992,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0023,,,2,59,35,,36,,,,,,3,3,Dépendance,,0,,,,,,2.370297,48.830071
2025-1306171,2025-08-26,000001,Vente,300000,87,,RUE DU DESSOUS DES BERGES,2756,75013,75113,Paris 13e Arrondissement,75,,,75113000CG0019,,,16,,17,,18,,19,,2,43.22,7,2,Appartement,18,1,,,,,,2.373192,48.827813
2025-1306273,2025-08-27,000001,Vente,347900,14,,RUE DE TOLBIAC,9337,75013,75113,Paris 13e Arrondissement,75,,,75113000BI0023,,,19,51.2,,,,,,,,,1,2,Appartement,57,3,,,,,,2.374847,48.829866
2025-1306273,2025-08-27,000001,Vente,347900,14,,RUE DE TOLBIAC,9337,75013,75113,Paris 13e Arrondissement,75,,,75113000BI0023,,,19,51.2,,,,,,,,,1,2,Appartement,52,2,,,,,,2.374847,48.829866
2025-1306275,2025-08-27,000001,Vente,379400,14,,RUE DE TOLBIAC,9337,75013,75113,Paris 13e Arrondissement,75,,,75113000BI0023,,,18,54.2,,,,,,,,,1,2,Appartement,57,3,,,,,,2.374847,48.829866
2025-1306275,2025-08-27,000001,Vente,379400,14,,RUE DE TOLBIAC,9337,75013,75113,Paris 13e Arrondissement,75,,,75113000BI0023,,,18,54.2,,,,,,,,,1,2,Appartement,52,2,,,,,,2.374847,48.829866
2025-1306281,2025-08-27,000001,Vente,510000,35,,RUE CHARCOT,1786,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0019,,,158,,65,,,,,,,,2,2,Appartement,64,3,,,,,,2.37022,48.829935
2025-1306281,2025-08-27,000001,Vente,510000,35,,RUE CHARCOT,1786,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0019,,,158,,65,,,,,,,,2,3,Dépendance,,0,,,,,,2.37022,48.829935
2025-1306942,2025-09-09,000001,Vente,100000,80,,RUE DU DESSOUS DES BERGES,2756,75013,75113,Paris 13e Arrondissement,75,,,75113000BI0028,,,194,,206,,,,,,,,2,2,Appartement,11,1,,,,,,2.372988,48.829025
2025-1306942,2025-09-09,000001,Vente,100000,80,,RUE DU DESSOUS DES BERGES,2756,75013,75113,Paris 13e Arrondissement,75,,,75113000BI0028,,,194,,206,,,,,,,,2,3,Dépendance,,0,,,,,,2.372988,48.829025
2025-1307222,2025-08-27,000001,Vente,11000,5,,RUE LEREDDE,5597,75013,75113,Paris 13e Arrondissement,75,,,75113000CG0071,,,748,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.374125,48.828751
2025-1307527,2025-09-24,000001,Vente,159000,15,,RUE DE TOLBIAC,9337,75013,75113,Paris 13e Arrondissement,75,,,75113000CG0037,,,83,,,,,,,,,,1,2,Appartement,20,1,,,,,,2.374847,48.829257
2025-1307632,2025-09-24,000001,Vente,240000,89,B,RUE DU DESSOUS DES BERGES,2756,75013,75113,Paris 13e Arrondissement,75,,,75113000CG0021,,,5,29.8,,,,,,,,,1,3,Dépendance,,0,,,,,,2.373228,48.827938
2025-1307632,2025-09-24,000001,Vente,240000,89,B,RUE DU DESSOUS DES BERGES,2756,75013,75113,Paris 13e Arrondissement,75,,,75113000CG0021,,,5,29.8,,,,,,,,,1,2,Appartement,28,2,,,,,,2.373228,48.827938
2025-1307844,2025-09-24,000001,Vente,65000,11,,RUE DUNOIS,2992,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0023,,,29,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.370297,48.830071
2025-1308128,2025-09-16,000001,Vente,202000,1,,RUE XAINTRAILLES,9973,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0013,,,9,25.96,,,,,,,,,1,2,Appartement,26,1,,,,,,2.371122,48.829483
2025-1308128,2025-09-16,000001,Vente,202000,1,,RUE XAINTRAILLES,9973,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0013,,,9,25.96,,,,,,,,,1,3,Dépendance,,0,,,,,,2.371122,48.829483
2025-1308169,2025-09-29,000001,Vente,467000,5,,RUE LEREDDE,5597,75013,75113,Paris 13e Arrondissement,75,,,75113000CG0071,,,123,57.5,795,,,,,,,,2,3,Dépendance,,0,,,,,,2.374125,48.828751
2025-1308169,2025-09-29,000001,Vente,467000,5,,RUE LEREDDE,5597,75013,75113,Paris 13e Arrondissement,75,,,75113000CG0071,,,123,57.5,795,,,,,,,,2,2,Appartement,58,3,,,,,,2.374125,48.828751
2025-1308169,2025-09-29,000001,Vente,467000,5,,RUE LEREDDE,5597,75013,75113,Paris 13e Arrondissement,75,,,75113000CG0071,,,756,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.374125,48.828751
2025-1308255,2025-09-26,000001,Vente,147386.38,30,,RUE DE DOMREMY,2894,75013,75113,Paris 13e Arrondissement,75,,,75113000BJ0040,,,125,,169,,,,,,,,2,2,Appartement,18,1,,,,,,2.371663,48.829821
2025-1308255,2025-09-26,000001,Vente,147386.38,30,,RUE DE DOMREMY,2894,75013,75113,Paris 13e Arrondissement,75,,,75113000BJ0040,,,125,,169,,,,,,,,2,3,Dépendance,,0,,,,,,2.371663,48.829821
2025-1308293,2025-09-23,000001,Vente,192500,3,,PL DE L'ESC NORMANDIE NIEMEN,3365,75013,75113,Paris 13e Arrondissement,75,,,75113000BJ0061,,,140,,3,26.93,,,,,,,2,2,Appartement,28,1,,,,,,2.371223,48.831213
2025-1308293,2025-09-23,000001,Vente,192500,3,,PL DE L'ESC NORMANDIE NIEMEN,3365,75013,75113,Paris 13e Arrondissement,75,,,75113000BJ0061,,,140,,3,26.93,,,,,,,2,3,Dépendance,,0,,,,,,2.371223,48.831213
2025-1308746,2025-09-19,000001,Vente,176800,113,,RUE DU CHEVALERET,1990,75013,75113,Paris 13e Arrondissement,75,,,75113000BJ0044,,,114,,139,25.02,,,,,,,2,3,Dépendance,,0,,,,,,2.373604,48.83124
2025-1308746,2025-09-19,000001,Vente,176800,113,,RUE DU CHEVALERET,1990,75013,75113,Paris 13e Arrondissement,75,,,75113000BJ0044,,,114,,139,25.02,,,,,,,2,2,Appartement,26,2,,,,,,2.373604,48.83124
2025-1309028,2025-10-10,000001,Vente,145000,23,,RUE DE DOMREMY,2894,75013,75113,Paris 13e Arrondissement,75,,,75113000BI0001,,,236,13.97,,,,,,,,,1,2,Appartement,16,1,,,,,,2.372091,48.829706
2025-1309248,2025-10-17,000001,Vente,740000,79,,RUE DU CHEVALERET,1990,75013,75113,Paris 13e Arrondissement,75,,,75113000CG0041,,,27,,,,,,,,,,1,2,Appartement,44,2,,,,,,2.375804,48.828978
2025-1309248,2025-10-17,000001,Vente,740000,79,,RUE DU CHEVALERET,1990,75013,75113,Paris 13e Arrondissement,75,,,75113000CG0041,,,31,,,,,,,,,,1,2,Appartement,45,3,,,,,,2.375804,48.828978
2025-1309248,2025-10-17,000001,Vente,740000,79,,RUE DU CHEVALERET,1990,75013,75113,Paris 13e Arrondissement,75,,,75113000CG0041,,,26,115.92,,,,,,,,,1,2,Appartement,32,1,,,,,,2.375804,48.828978
2025-1309248,2025-10-17,000001,Vente,740000,79,,RUE DU CHEVALERET,1990,75013,75113,Paris 13e Arrondissement,75,,,75113000CG0041,,,31,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.375804,48.828978
2025-1309248,2025-10-17,000001,Vente,740000,79,,RUE DU CHEVALERET,1990,75013,75113,Paris 13e Arrondissement,75,,,75113000CG0041,,,27,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.375804,48.828978
2025-1309248,2025-10-17,000001,Vente,740000,65,,RUE DU CHEVALERET,1990,75013,75113,Paris 13e Arrondissement,75,,,75113000CG0046,,,189,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.376225,48.828211
2025-1309248,2025-10-17,000001,Vente,740000,65,,RUE DU CHEVALERET,1990,75013,75113,Paris 13e Arrondissement,75,,,75113000CG0046,,,190,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.376225,48.828211
2025-1309419,2025-10-21,000001,Vente,150000,32,,RUE DE TOLBIAC,9337,75013,75113,Paris 13e Arrondissement,75,,,75113000BI0031,,,3,,56,,,,,,,,2,3,Dépendance,,0,,,,,,2.372955,48.828742
2025-1309419,2025-10-21,000001,Vente,150000,32,,RUE DE TOLBIAC,9337,75013,75113,Paris 13e Arrondissement,75,,,75113000BI0031,,,3,,56,,,,,,,,2,2,Appartement,16,1,,,,,,2.372955,48.828742
2025-1309937,2025-10-14,000001,Vente,359600,10,,RUE DE REIMS,8109,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0036,,,471,40.39,645,,,,,,,,2,2,Appartement,37,2,,,,,,2.37108,48.828875
2025-1309973,2025-10-10,000001,Vente,8000,115,,RUE DU CHEVALERET,1990,75013,75113,Paris 13e Arrondissement,75,,,75113000BJ0043,,,17,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.373419,48.831356
2025-1309973,2025-10-10,000001,Vente,8000,115,,RUE DU CHEVALERET,1990,75013,75113,Paris 13e Arrondissement,75,,,75113000BJ0043,,,17,,,,,,,,,,1,2,Appartement,40,2,,,,,,2.373419,48.831356
2025-1310169,2025-10-27,000001,Vente,295338,5,,RUE LEREDDE,5597,75013,75113,Paris 13e Arrondissement,75,,,75113000CG0071,,,30,58.02,519,,,,,,,,2,3,Dépendance,,0,,,,,,2.374125,48.828751
2025-1310169,2025-10-27,000001,Vente,295338,5,,RUE LEREDDE,5597,75013,75113,Paris 13e Arrondissement,75,,,75113000CG0071,,,30,58.02,519,,,,,,,,2,2,Appartement,59,3,,,,,,2.374125,48.828751
2025-1310169,2025-10-27,000001,Vente,295338,5,,RUE LEREDDE,5597,75013,75113,Paris 13e Arrondissement,75,,,75113000CG0071,,,546,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.374125,48.828751
2025-1310285,2025-10-10,000001,Vente,417000,115,,RUE DU CHEVALERET,1990,75013,75113,Paris 13e Arrondissement,75,,,75113000BJ0043,,,16,,6,39.12,,,,,,,2,2,Appartement,40,2,,,,,,2.373419,48.831356
2025-1310597,2025-11-12,000001,Vente,555000,34,,RUE DE TOLBIAC,9337,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0046,,,18,,28,,,,,,,,2,4,Local industriel. commercial ou assimilé,75,0,,,,,,2.372591,48.828536
2025-1311353,2025-11-21,000001,Vente,304050,115,,RUE DU DESSOUS DES BERGES,2756,75013,75113,Paris 13e Arrondissement,75,,,75113000BH0033,,,13,,,,,,,,,,1,2,Appartement,43,3,,,,,,2.371738,48.829295
